PO #,Invoice #,Invoice Date,Total Amount
PO00699440,SAJ/2017/3572,06/06/2017,$92.75,
PO00703999,SAJ/2017/3571,06/06/2017,$96.25,
PO00697700,SAJ/2017/3560,06/06/2017,$92.75,
PO00702699,SAJ/2017/3544,06/06/2017,$262.08,
PO00702525,SAJ/2017/3543,06/06/2017,$97.50,
po00659087,SAJ/2017/1311,06/06/2017,$160.00,
po00658398,SAJ/2017/1307,06/06/2017,$93.75,
PO00650371,SAJ/2017/1274,06/06/2017,$429.20,
PO00662280,SAJ/2017/1159,06/06/2017,$150.00,
PO00661571,SAJ/2017/1158,06/06/2017,$63.75,
PO00661697,SAJ/2017/1157,06/06/2017,$63.75,
PO00661864,SAJ/2017/1156,06/06/2017,$63.75,
PO00661604,SAJ/2017/1155,06/06/2017,$92.75,
PO00662140,SAJ/2017/1154,06/06/2017,$225.00,
PO00662491,SAJ/2017/1153,06/06/2017,$92.75,
PO00661915,SAJ/2017/1152,06/06/2017,$92.75,
PO00662005,SAJ/2017/1151,06/06/2017,$92.75,
PO00662166,SAJ/2017/1150,06/06/2017,$79.50,
PO00661546,SAJ/2017/1149,06/06/2017,$106.00,
PO00661094,SAJ/2017/1147,06/06/2017,$133.75,
PO00661220,SAJ/2017/1146,06/06/2017,$76.50,
PO00661372,SAJ/2017/1145,06/06/2017,$92.75,
PO00661427,SAJ/2017/1144,06/06/2017,$92.75,
PO00660984,SAJ/2017/1143,06/06/2017,$122.50,
PO00661506,SAJ/2017/1142,06/06/2017,$122.50,
PO00650840,SAJ/2017/1073,06/06/2017,$342.50,
PO00660655,SAJ/2017/1064,06/06/2017,$92.75,
PO00660050,SAJ/2017/1063,06/06/2017,$63.75,
PO00660092,SAJ/2017/1062,06/06/2017,$96.25,
PO00660203,SAJ/2017/1061,06/06/2017,$92.50,
PO00660193,SAJ/2017/1060,06/06/2017,$92.75,
PO00659942,SAJ/2017/1059,06/06/2017,$92.75,
PO00660873,SAJ/2017/1058,06/06/2017,$132.50,
PO00662375,SAJ/2017/1057,06/06/2017,$135.00,
PO00659870,SAJ/2017/1056,06/06/2017,$192.50,
PO00654798,SAJ/2017/1043,06/06/2017,$342.50,
PO00653840,SAJ/2017/1020,06/06/2017,$356.20,
PO00656932,SAJ/2017/1019,06/06/2017,$580.00,
PO00659517,SAJ/2017/1018,06/06/2017,$122.50,
PO00659234,SAJ/2017/1017,06/06/2017,$63.75,
PO00659611,SAJ/2017/1016,06/06/2017,$63.75,
PO00659533,SAJ/2017/1015,06/06/2017,$126.00,
PO00659177,SAJ/2017/1014,06/06/2017,$92.75,
PO00659614,SAJ/2017/1012,06/06/2017,$135.00,
PO00660728,SAJ/2017/1011,06/06/2017,$102.00,
PO00659755,SAJ/2017/1010,06/06/2017,$92.75,
PO00659670,SAJ/2017/1009,06/06/2017,$147.50,
po00655268,SAJ/2017/0957,06/06/2017,$241.00,
PO00658805,SAJ/2017/0956,06/06/2017,$63.75,
PO00658792,SAJ/2017/0955,06/06/2017,$92.75,
PO00659101,SAJ/2017/0954,06/06/2017,$157.50,
PO00656628,SAJ/2017/0953,06/06/2017,$342.50,
PO00656753,SAJ/2017/0952,06/06/2017,$359.00,
PO00656279,SAJ/2017/0951,06/06/2017,$204.00,
